log,encoding,feature_vector_size,encoding_time,encoding_memory,c1,c2,cls_coef,density,f1.mean,f1.sd,f1v.mean,f1v.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,l1.mean,l1.sd,l2.mean,l2.sd,l3.mean,l3.sd,lsc,n1,n2.mean,n2.sd,n3.mean,n3.sd,t1.mean,t1.sd,t2,t3,t4
scenario4_1000_skip_0.05,alignment,5,8.376037120819092,1704520,0.3154190889380808,0.8795493099144199,0.9909230355281671,0.6473673673673674,1.0,0.0,1.0,0.0,1.0,0.0,0.99,0.0,0.987,0.0,0.05393286708535616,0.0,0.05700000000000005,0.0,0.05700000000000005,0.0,0.992634,0.14,1.0,0.0,0.087,0.2819760814510878,0.01,0.0529327761210272,0.005,0.001,0.2
scenario4_1000_skip_0.05,tokenreplay,6,1.4404549598693848,955618,0.3154190889380808,0.8795493099144199,0.9951118449590336,0.5944664664664665,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.05392620624409572,0.0,0.05700000000000005,0.0,0.05700000000000005,0.0,0.99909,0.088,1.0,0.0,0.07,0.2552746857116176,0.09090909090909091,0.07349347528244198,0.006,0.001,0.16666666666666666
scenario4_1000_skip_0.05,log_skeleton,4,1.9796249866485596,1162366,0.3154190889380808,0.8795493099144199,0.9836197817876678,0.7861601601601602,0.9998611641364389,0.00010516701216595629,0.9998611641364389,0.0,0.37232986826109615,0.0,0.993,0.0,0.99,0.0,0.05392620624407085,0.0,0.05700000000000005,0.0,0.05700000000000005,0.0,0.996826,0.181,1.0,0.0,0.075,0.26352313834736496,0.04,0.06878953408767935,0.004,0.001,0.25
scenario4_1000_skip_0.05,countvectorizer,27,0.03488469123840332,1066384,0.3154190889380808,0.8795493099144199,0.9279395335586161,0.9051751751751752,0.9979057246410081,0.0020284325195609114,0.9979057246410081,0.0,0.047055726835902985,0.0,0.798,0.0,0.15,0.0,0.03788087921672356,0.0,0.03400000000000003,0.0,0.22199999999999998,0.0,0.901197,0.681,0.020717111812885002,0.1012096441692698,0.019,0.1365930366367834,0.011904761904761904,0.05729455051939702,0.027,0.001,0.037037037037037035
scenario4_1000_skip_0.05,doc2vec,2,0.22967195510864258,584085,0.3154190889380808,0.8795493099144199,0.9828316885191295,0.8591331331331331,0.9827536730609607,0.0220510504174726,0.9827536730609607,0.0,0.8236826894152276,0.0,0.77,0.0,0.712,0.0,0.053926206244095165,0.0,0.05700000000000005,0.0,0.05700000000000005,0.0,0.903551,0.117,0.1278254764357981,0.19642174819109606,0.064,0.24487540497968344,0.005405405405405406,0.019568802060960643,0.002,0.002,1.0
scenario4_1000_skip_0.05,hashvectorizer,2,0.015229940414428711,180689,0.3154190889380808,0.8795493099144199,0.9926128048628191,0.6153413413413413,0.9979157626421832,0.002072086417189544,0.9979157626421832,0.0,0.2210566860163704,0.0,0.987,0.0,0.987,0.0,0.0536362927433226,0.0,0.05600000000000005,0.0,0.05600000000000005,0.0,0.991975,0.278,1.0,0.0,0.076,0.2651307117146075,0.3333333333333333,0.41869360316743953,0.002,0.001,0.5
scenario4_1000_skip_0.05,onehot,84,0.011471986770629883,3464120,0.3154190889380808,0.8795493099144199,0.8931722839294949,0.9172012012012012,1.0,0.0,1.0,0.0,1.0,0.0,0.954,0.0,0.658,0.0,0.0,0.0,0.0,0.0,0.22999999999999998,0.0,0.913303,0.781,0.02249148392646478,0.10570273849531524,0.026,0.15921478998305827,0.01818181818181818,0.11604055659298937,0.084,0.012,0.14285714285714285
scenario4_1000_skip_0.05,tfidfvectorizer,27,0.037142038345336914,1001800,0.3154190889380808,0.8795493099144199,0.9148923255194988,0.8858858858858859,0.997251664614761,0.004650238138167846,0.997251664614761,0.0,3.804969428579568e-05,0.0,0.826,0.0,0.0,0.0,0.02314821038968462,0.0,0.018000000000000016,0.0,0.20299999999999996,0.0,0.889768,0.641,0.02090646829790686,0.10203643626503607,0.02,0.1400700525437883,0.02857142857142857,0.14608725952306034,0.027,0.007,0.25925925925925924
scenario4_1000_skip_0.05,word2vec_cbow,2,0.03828620910644531,221298,0.3154190889380808,0.8795493099144199,0.9800843381696538,0.798968968968969,0.9949740762749647,0.006547749524219651,0.9949740762749647,0.0,0.4238933466427815,0.0,0.827,0.0,0.811,0.0,0.05392620624410527,0.0,0.05700000000000005,0.0,0.05700000000000005,0.0,0.908245,0.547,0.020797861115556576,0.10680659569985299,0.02,0.1400700525437883,0.027777777777777776,0.05289348386068586,0.002,0.002,1.0
scenario4_1000_skip_0.05,word2vec_skipgram,2,0.03788614273071289,221298,0.3154190889380808,0.8795493099144199,0.9800843381696538,0.798968968968969,0.9949740762749647,0.006547749524219651,0.9949740762749647,0.0,0.4238933466427815,0.0,0.827,0.0,0.811,0.0,0.05392620624408262,0.0,0.05700000000000005,0.0,0.05700000000000005,0.0,0.908245,0.547,0.020797861115556576,0.10680659569985299,0.02,0.1400700525437883,0.027777777777777776,0.05289348386068586,0.002,0.002,1.0
scenario4_1000_skip_0.05,boostne,17,0.15746212005615234,1273204,0.3154190889380808,0.8795493099144199,0.9783526354648251,0.8396096096096096,1.0,0.0,1.0,0.0,1.0,0.0,0.828,0.0,0.026,0.0,0.04090149297599943,0.0,0.03400000000000003,0.0,0.22799999999999998,0.0,0.8746240000000001,0.467,0.009520718347533364,0.07430307412550843,0.007,0.08341437500789631,0.021739130434782608,0.056370376295280286,0.017,0.002,0.11764705882352941
scenario4_1000_skip_0.05,deepwalk,2,0.32219910621643066,192066,0.3154190889380808,0.8795493099144199,0.9946266414603463,0.6202902902902903,0.9962869959074696,0.003803263976498611,0.9962869959074696,0.0,0.19886192342895817,0.0,0.988,0.0,0.765,0.0,0.053926206244088615,0.0,0.05700000000000005,0.0,0.05700000000000005,0.0,0.84705,0.375,0.01931058677924919,0.1041568645528408,0.014,0.11754921445002436,0.05263157894736842,0.1743732301467541,0.002,0.001,0.5
scenario4_1000_skip_0.05,diff2vec,2,5.083977222442627,192075,0.3154190889380808,0.8795493099144199,0.9946266414603463,0.6202902902902903,0.9992963551601759,0.00031321371447303603,0.9992963551601759,0.0,0.9857266113916003,0.0,0.997,0.0,0.994,0.0,0.05392620624409339,0.0,0.05700000000000005,0.0,0.05700000000000005,0.0,0.908107,0.53,0.01970244083107033,0.10423463917450121,0.014,0.11754921445002436,0.020833333333333332,0.057780337277369066,0.002,0.001,0.5
scenario4_1000_skip_0.05,glee,2,0.12681889533996582,207459,0.3154190889380808,0.8795493099144199,0.9891315665298851,0.1095615615615616,0.9530293040107282,0.025631756454849112,0.9530293040107282,0.0,0.02325861504436537,0.0,0.97,0.0,0.624,0.0,0.05889043876349587,0.0,0.04800000000000004,0.0,0.04500000000000004,0.0,0.819879,0.096,0.015990803335025772,0.08825352277393118,0.012,0.10893974420691409,0.2,0.3347439319838375,0.002,0.002,1.0
scenario4_1000_skip_0.05,graphwave,2,0.20525193214416504,548907,0.3154190889380808,0.8795493099144199,0.9982118671777991,0.10772172172172167,1.0,0.0,1.0,0.0,1.0,0.0,0.999,0.0,0.999,0.0,0.053030303030303094,0.0,0.05600000000000005,0.0,0.05600000000000005,0.0,0.999999,0.944,1.0,0.0,0.057,0.2319586273558386,1.0,0.0,0.002,0.001,0.5
scenario4_1000_skip_0.05,grarep,2,0.1535179615020752,1044498,0.3154190889380808,0.8795493099144199,0.9919626551877068,0.6652192192192192,0.9989766963438018,0.0009310036482200492,0.9989766963438018,0.0,0.5537392590632942,0.0,0.977,0.0,0.76,0.0,0.05392620624410005,0.0,0.05700000000000005,0.0,0.05700000000000005,0.0,0.811237,0.202,0.014630907554791992,0.08312548126089807,0.009,0.09448771310560927,0.012987012987012988,0.043908845022654755,0.002,0.002,1.0
scenario4_1000_skip_0.05,hope,2,0.13266539573669434,200297,0.3154190889380808,0.8795493099144199,0.9921983925099417,0.6901841841841843,0.9988890553473417,5.774686231335724e-10,0.9988890553473417,0.0,0.556684684375481,0.0,0.987,0.0,0.791,0.0,0.05392620624408684,0.0,0.05700000000000005,0.0,0.05700000000000005,0.0,0.88422,0.432,0.01107316444187628,0.07617965289880141,0.007,0.08341437500789631,0.07692307692307693,0.11874444656380183,0.002,0.001,0.5
scenario4_1000_skip_0.05,laplacianeigenmaps,2,0.12148213386535645,207459,0.3154190889380808,0.8795493099144199,0.9919899539261788,0.6791411411411412,0.9985498022609722,0.0007880679328969895,0.9985498022609722,0.0,0.36347990132720454,0.0,0.97,0.0,0.948,0.0,0.05392620624408817,0.0,0.05700000000000005,0.0,0.05700000000000005,0.0,0.875736,0.467,0.016058408883790554,0.0945616666294886,0.016,0.12553788177183717,0.047619047619047616,0.12118724198135555,0.002,0.002,1.0
scenario4_1000_skip_0.05,netmf,2,0.12917423248291016,191749,0.3154190889380808,0.8795493099144199,0.9935429303188387,0.7090950950950952,0.9993462362354207,0.0005514400711469165,0.9993462362354207,0.0,0.6429993745905239,0.0,0.985,0.0,0.978,0.0,0.053926206244095165,0.0,0.05700000000000005,0.0,0.05700000000000005,0.0,0.873663,0.43,0.011370162936560981,0.06980316772106104,0.008,0.08912880535463236,0.02,0.043320353890803916,0.002,0.002,1.0
scenario4_1000_skip_0.05,nmfadmm,2,0.21792912483215332,496580,0.3154190889380808,0.8795493099144199,0.9870587425020877,0.7286646646646646,0.9978989775015348,0.002653852845289834,0.9978989775015348,0.0,0.586356750039693,0.0,0.982,0.0,0.947,0.0,0.05392620624408362,0.0,0.05700000000000005,0.0,0.05700000000000005,0.0,0.887401,0.543,0.016598157527776717,0.0954263815416082,0.015,0.121613279660528,0.03225806451612903,0.0698273908729879,0.002,0.001,0.5
scenario4_1000_skip_0.05,node2vec_,2,5.849294900894165,192278,0.3154190889380808,0.8795493099144199,0.9928702627633529,0.7618378378378379,0.9994246490501919,0.0004221084256671371,0.9994246490501919,0.0,0.39614179314031267,0.0,0.995,0.0,0.992,0.0,0.05392620624406508,0.0,0.05700000000000005,0.0,0.05700000000000005,0.0,0.902335,0.573,0.017566150501223392,0.09603685122498111,0.016,0.12553788177183717,0.07692307692307693,0.1881030132394045,0.002,0.001,0.5
scenario4_1000_skip_0.05,nodesketch,2,0.13016223907470703,740489,0.3154190889380808,0.8795493099144199,0.9888224299814965,0.8231551551551551,0.999613854152132,0.0005210220662074668,0.999613854152132,0.0,0.6602606286350751,0.0,0.959,0.0,0.955,0.0,0.05392620624406774,0.0,0.05700000000000005,0.0,0.05700000000000005,0.0,0.898528,0.742,0.015583124814214816,0.09117853035394836,0.015,0.121613279660528,0.03225806451612903,0.054314496371862205,0.002,0.002,1.0
scenario4_1000_skip_0.05,walklets,4,0.4703950881958008,287734,0.3154190889380808,0.8795493099144199,0.9946266414603463,0.6202902902902903,0.9984495733961336,0.00019712665220151138,0.9984495733961336,0.0,0.06862760363318196,0.0,0.995,0.0,0.888,0.0,0.053925964718985475,0.0,0.05700000000000005,0.0,0.05700000000000005,0.0,0.907751,0.563,0.020369242035340823,0.09906715660934212,0.013,0.11333068359382573,0.05263157894736842,0.1776923716634128,0.004,0.001,0.25
scenario4_1000_skip_0.05,role2vec,2,0.5261428356170654,192366,0.3154190889380808,0.8795493099144199,0.987254376506128,0.7857557557557557,0.9983455008889084,0.0007687450623268887,0.9983455008889084,0.0,0.3814748454503204,0.0,0.984,0.0,0.977,0.0,0.05392620624407729,0.0,0.05700000000000005,0.0,0.05700000000000005,0.0,0.903388,0.604,0.019450365708974703,0.10307830091082015,0.016,0.12553788177183717,0.03571428571428571,0.06491353630612952,0.002,0.002,1.0
